"FUN_ID","module"
"FUN_004427","cyan"
"FUN_004428","magenta"
"FUN_004429","green"
"FUN_004452","violet"
"FUN_004463","darkred"
"FUN_004465","royalblue"
"FUN_004467","tan"
"FUN_004471","darkturquoise"
"FUN_004472","lightyellow"
"FUN_004473","greenyellow"
"FUN_004475","greenyellow"
"FUN_004480","lightyellow"
"FUN_004481","tan"
"FUN_004482","lightyellow"
"FUN_004486","cyan"
"FUN_004490","red"
"FUN_004491","royalblue"
"FUN_004492","darkturquoise"
"FUN_004493","royalblue"
"FUN_004495","magenta"
"FUN_004500","yellow"
"FUN_004502","cyan"
"FUN_004506","yellow"
"FUN_004508","royalblue"
"FUN_004509","royalblue"
"FUN_004513","grey"
"FUN_004524","grey60"
"FUN_004525","grey60"
"FUN_004528","orange"
"FUN_004530","magenta"
"FUN_004531","black"
"FUN_004534","greenyellow"
"FUN_004535","green"
"FUN_004536","orange"
"FUN_004538","darkturquoise"
"FUN_004539","yellow"
"FUN_004542","orange"
"FUN_004545","greenyellow"
"FUN_004546","greenyellow"
"FUN_004547","green"
"FUN_004548","grey"
"FUN_004549","green"
"FUN_004553","greenyellow"
"FUN_004557","orange"
"FUN_004558","cyan"
"FUN_004565","magenta"
"FUN_004564","magenta"
"FUN_004566","orange"
"FUN_004573","black"
"FUN_004585","cyan"
"FUN_004595","magenta"
"FUN_004596","black"
"FUN_004597","violet"
"FUN_004600","cyan"
"FUN_004601","green"
"FUN_004603","grey60"
"FUN_047043","greenyellow"
"FUN_004606","lightyellow"
"FUN_004608","violet"
"FUN_004610","violet"
"FUN_004611","orange"
"FUN_004619","lightyellow"
"FUN_004622","greenyellow"
"FUN_004628","violet"
"FUN_004629","magenta"
"FUN_004634","grey60"
"FUN_004635","purple"
"FUN_004636","darkturquoise"
"FUN_004641","grey60"
"FUN_004642","cyan"
"FUN_004658","orange"
"FUN_004659","orange"
"FUN_004660","violet"
"FUN_004665","lightyellow"
"FUN_004666","cyan"
"FUN_004667","greenyellow"
"FUN_004668","greenyellow"
"FUN_004669","magenta"
"FUN_004674","greenyellow"
"FUN_004679","violet"
"FUN_004680","greenyellow"
"FUN_004681","purple"
"FUN_004682","greenyellow"
"FUN_004683","lightyellow"
"FUN_004685","lightyellow"
"FUN_004689","greenyellow"
"FUN_004690","greenyellow"
"FUN_004692","orange"
"FUN_004696","orange"
"FUN_004697","purple"
"FUN_004698","yellow"
"FUN_004699","black"
"FUN_004702","lightyellow"
"FUN_004707","black"
"FUN_004713","yellow"
"FUN_004715","orange"
"FUN_004724","darkred"
"FUN_004726","lightyellow"
"FUN_004728","lightyellow"
"FUN_004730","orange"
"FUN_004731","greenyellow"
"FUN_004732","orange"
"FUN_004742","orange"
"FUN_004746","black"
"FUN_004747","greenyellow"
"FUN_004753","darkturquoise"
"FUN_004757","darkred"
"FUN_004758","orange"
"FUN_004774","greenyellow"
"FUN_004775","greenyellow"
"FUN_004778","greenyellow"
"FUN_004779","orange"
"FUN_004780","orange"
"FUN_004783","darkorange"
"FUN_004795","royalblue"
"FUN_004796","lightyellow"
"FUN_004798","darkred"
"FUN_004802","red"
"FUN_004818","greenyellow"
"FUN_004820","orange"
"FUN_004821","grey60"
"FUN_004822","tan"
"FUN_004823","greenyellow"
"FUN_004824","greenyellow"
"FUN_004825","cyan"
"FUN_004828","orange"
"FUN_004829","darkgreen"
"FUN_004830","darkturquoise"
"FUN_004831","violet"
"FUN_004832","darkturquoise"
"FUN_004836","orange"
"FUN_004839","greenyellow"
"FUN_047048","darkgreen"
"FUN_004857","cyan"
"FUN_004858","greenyellow"
"FUN_004860","purple"
"FUN_004874","orange"
"FUN_004885","lightyellow"
"FUN_004886","darkorange"
"FUN_004887","black"
"FUN_004888","lightyellow"
"FUN_004890","orange"
"FUN_004894","purple"
"FUN_004895","magenta"
"FUN_004897","orange"
"FUN_004905","purple"
"FUN_004906","darkred"
"FUN_004907","yellow"
"FUN_004908","darkturquoise"
"FUN_004909","darkturquoise"
"FUN_004920","purple"
"FUN_004923","green"
"FUN_004928","lightyellow"
"FUN_004929","violet"
"FUN_004932","darkred"
"FUN_004934","red"
"FUN_004935","violet"
"FUN_004951","violet"
"FUN_004953","orange"
"FUN_004954","violet"
"FUN_004959","orange"
"FUN_004960","violet"
"FUN_004961","green"
"FUN_004969","greenyellow"
"FUN_004976","greenyellow"
"FUN_004978","greenyellow"
"FUN_004980","violet"
