"X","PohiBra080_sorted.bam","PohiBra081_sorted.bam","PohiBra083_sorted.bam","PohiBra084_sorted.bam","PohiBra085_sorted.bam","PohiBra086_sorted.bam","PstrBra093_sorted.bam","PstrBra094_sorted.bam","PstrBra098_sorted.bam"
"FUN_000484",0,0,0,0,0,0,0,0,0
"FUN_000489",0,0,0,0,0,0,0,0,0
"FUN_000490",0,0,0,0,0,0,0,0,0
"FUN_000491",0,0,0,0,0,0,0,0,0
"FUN_000492",0,0,0,0,0,0,0,0,0
"FUN_000493",0,0,0,0,0,0,0,0,0
"FUN_000494",0,0,0,0,0,0,0,0,0
"FUN_000495",0,0,0,0,0,0,0,0,0
"FUN_000496",0,0,0,0,0,0,0,0,0
"FUN_000497",0,0,0,0,0,0,0,0,0
"FUN_000498",0,0,0,0,0,0,0,0,0
"FUN_000499",0,0,0,0,0,0,0,0,0
"FUN_000500",0,0,0,0,0,0,0,0,0
"FUN_000501",0,0,0,0,0,0,0,0,0
"FUN_000502",0,0,0,0,0,0,0,0,0
"FUN_000503",0,0,0,0,0,0,0,0,0
"FUN_000504",0,0,0,0,0,0,0,0,0
"FUN_000505",0,0,0,0,0,0,0,0,0
"FUN_000506",0,0,0,0,0,0,0,0,0
"FUN_000507",1,0,0,0,0,0,0,0,0
"FUN_000508",0,0,0,0,0,0,0,0,0
"FUN_000509",0,0,0,0,0,0,0,0,0
"FUN_000510",0,0,0,0,0,0,0,0,0
"FUN_000511",0,0,0,0,0,0,0,0,0
"FUN_000512",0,0,0,0,0,0,0,0,0
"FUN_000513",0,0,0,0,0,0,0,0,0
"FUN_000514",0,0,0,0,0,0,0,0,0
"FUN_000515",0,0,0,0,0,0,0,0,0
"FUN_000516",0,0,0,0,0,0,0,0,0
"FUN_000517",0,0,0,0,0,0,0,0,0
"FUN_000518",0,0,0,0,0,0,0,0,0
"FUN_000519",0,0,0,0,0,0,0,0,0
"FUN_000520",0,0,0,0,0,0,0,0,0
"FUN_000521",0,0,0,0,0,0,0,0,0
"FUN_000522",0,0,0,0,0,0,0,0,0
"FUN_000523",0,0,0,0,0,0,0,0,0
"FUN_000524",0,0,0,0,0,0,0,0,0
"FUN_000525",0,0,0,0,0,0,0,0,0
"FUN_000526",0,0,0,0,0,0,0,0,0
"FUN_000527",0,0,0,0,0,0,0,0,0
"FUN_000528",0,0,0,0,0,0,0,0,0
"FUN_000529",0,0,0,0,0,0,0,0,0
"FUN_000530",0,0,0,0,0,0,0,0,0
"FUN_000531",0,0,0,0,0,0,0,0,0
"FUN_000532",0,0,0,0,0,0,0,0,0
"FUN_000533",0,0,0,0,0,0,0,0,0
"FUN_000534",0,0,0,0,0,0,0,0,0
"FUN_000535",0,0,0,0,0,0,0,0,0
"FUN_000536",0,0,0,0,0,0,0,0,0
"FUN_000537",0,0,0,0,0,0,0,0,0
"FUN_000538",0,0,0,0,0,0,0,0,0
"FUN_000539",0,0,0,0,0,0,0,0,0
"FUN_000540",0,0,0,0,0,0,0,0,0
"FUN_000541",0,0,0,0,0,0,0,0,0
"FUN_000542",0,0,0,0,0,0,0,0,0
"FUN_000543",0,0,0,0,0,0,0,0,0
"FUN_000544",0,0,0,0,0,0,0,0,0
"FUN_000545",0,0,0,0,0,0,0,0,0
"FUN_000546",0,0,0,0,0,0,0,0,0
"FUN_000548",0,0,0,0,0,0,0,0,0
"FUN_000549",0,0,0,0,0,0,0,0,0
"FUN_000550",0,0,0,0,0,0,0,0,0
"FUN_000551",0,0,0,0,0,0,0,0,0
"FUN_000552",0,0,0,0,0,0,0,0,0
"FUN_000553",0,0,0,0,0,0,0,0,0
"FUN_000554",0,0,0,0,0,0,0,0,0
"FUN_000555",0,0,0,0,0,0,0,0,0
"FUN_000556",0,0,0,0,0,0,0,0,0
"FUN_000557",0,0,0,0,0,0,0,0,0
"FUN_000558",0,0,0,0,0,0,0,0,0
"FUN_000559",0,0,0,0,0,0,0,0,0
"FUN_000560",0,0,0,0,0,0,0,0,0
"FUN_000561",0,0,0,0,0,0,0,0,0
"FUN_000562",0,0,0,0,0,0,0,0,0
"FUN_000563",0,0,0,0,0,0,0,0,0
"FUN_000564",0,0,0,0,0,0,0,0,0
"FUN_000565",0,0,0,0,0,0,0,0,0
"FUN_000566",0,0,0,0,0,0,0,0,0
"FUN_000567",0,0,0,0,0,0,0,0,0
"FUN_000568",0,0,0,0,0,0,0,0,0
"FUN_000569",0,0,0,0,0,0,0,0,0
"FUN_000570",0,0,0,0,0,0,0,0,0
"FUN_000571",0,0,0,0,0,0,0,0,0
"FUN_000572",0,0,0,0,0,0,0,0,0
"FUN_000573",0,0,0,0,0,0,0,0,0
"FUN_000574",0,0,0,0,0,0,0,0,0
"FUN_000575",0,0,0,0,0,0,0,0,0
"FUN_000576",0,0,0,0,0,0,0,0,0
"FUN_000577",0,0,0,0,0,0,0,0,0
"FUN_000578",0,0,0,0,0,0,0,0,0
"FUN_000579",0,0,0,0,0,0,0,0,0
"FUN_000580",0,0,0,0,0,0,0,0,0
"FUN_000581",2,0,0,0,0,0,0,0,0
"FUN_000582",0,0,0,0,0,0,0,0,0
"FUN_000583",0,0,0,0,0,0,0,0,0
"FUN_000584",0,0,0,0,0,0,0,0,0
"FUN_000585",0,0,0,0,0,0,0,0,0
"FUN_000586",0,0,0,0,0,0,0,0,0
"FUN_000587",0,0,0,0,0,0,0,0,0
"FUN_000588",0,0,0,0,0,0,0,0,0
"FUN_000589",0,0,0,0,0,0,0,0,0
"FUN_000590",0,0,0,0,0,0,0,0,0
"FUN_000591",0,0,0,0,0,0,0,0,0
"FUN_000592",0,0,0,0,0,0,0,0,0
"FUN_000593",0,0,0,0,0,0,0,0,0
"FUN_000594",0,0,0,0,0,0,0,0,0
"FUN_000595",0,0,0,0,0,0,0,0,0
"FUN_000596",0,0,0,0,0,0,0,0,0
"FUN_000597",0,0,0,0,0,0,0,0,0
"FUN_000598",0,0,0,0,0,0,0,0,0
"FUN_000599",0,0,0,0,0,0,0,0,0
"FUN_000600",0,0,0,0,0,0,0,0,0
"FUN_000601",0,0,0,0,0,0,0,0,0
