"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_005455",427.037771448258,416.509746509053,10.5280249392049,405.981721569848,"orange","",368
"FUN_003247",424.139522600016,416.253911423317,7.88561117669985,408.368300246617,"orange","CA10_2",257
"FUN_020400",422.744492256145,415.574866576255,7.16962567988998,408.405240896365,"orange","",1160
"FUN_013511",427.772322027471,415.240464298534,12.5318577289376,402.708606569596,"orange","KIF3A",769
"FUN_033979",427.21496043774,414.166758846014,13.0482015917258,401.118557254288,"orange","",1887
"FUN_046956",430.661131764973,413.431316617529,17.2298151474443,396.201501470085,"orange","",2287
"FUN_047150",421.493308714324,413.422286120273,8.07102259405042,405.351263526223,"orange","",755
"FUN_011290",425.701721803382,413.220109006968,12.4816127964143,400.738496210554,"orange","SNX4",664
"FUN_047198",426.752484701955,413.173287714827,13.5791969871282,399.594090727699,"orange","",961
"FUN_014418",421.732272599444,412.460280252117,9.271992347327,403.18828790479,"orange","",821
"FUN_016600",429.710983035214,411.38310074815,18.3278822870639,393.055218461087,"orange","PLSCR1",961
"FUN_015768",423.561060225006,411.370593039571,12.1904671854344,399.180125854137,"orange","MMP21_2",901
"FUN_018619",431.060526217098,411.214935314105,19.845590902993,391.369344411112,"orange","",1070
"FUN_021528",421.007859986142,411.032133160703,9.97572682543927,401.056406335263,"orange","",1218
"FUN_024350",417.834300046206,410.936903858218,6.89739618798791,404.03950767023,"orange","",1374
"FUN_010601",418.471730883439,410.890613944195,7.58111693924366,403.309497004952,"orange","CPK17",630
"FUN_013096",419.295270161898,410.696264087389,8.59900607450851,402.097258012881,"orange","",746
"FUN_003803",424.384900410913,410.494731262913,13.8901691479992,396.604562114914,"orange","",286
"FUN_028628",425.882077262355,409.195782498177,16.6862947641782,392.509487733998,"orange","KCNK9_3",1583
"FUN_013213",424.695060129742,408.684610387458,16.0104497422844,392.674160645173,"orange","",749
"FUN_045712",422.227594303898,408.275004438428,13.9525898654699,394.322414572958,"orange","",2356
"FUN_005861",417.824551428625,408.002201988273,9.82234944035218,398.179852547921,"orange","",395
"FUN_015370",420.850071377529,407.129134252957,13.7209371245719,393.408197128385,"orange","",885
"FUN_027504",415.807273389725,406.699793226293,9.10748016343177,397.592313062862,"orange","",1522
"FUN_007787",428.37447981266,406.63141822442,21.7430615882403,384.88835663618,"orange","",506
"FUN_003738",420.088208474232,406.577751129175,13.5104573450573,393.067293784118,"orange","",283
"FUN_016682",413.865290252251,406.256541820848,7.608748431403,398.647793389445,"orange","",966
"FUN_012357",417.866795764738,406.170278948668,11.6965168160698,394.473762132599,"orange","",710
"FUN_001376",416.993507875769,405.188384981574,11.8051228941944,393.38326208738,"orange","STO2",130
"FUN_014746",416.652950936109,404.638117502226,12.0148334338835,392.623284068342,"orange","",846
"FUN_020709",418.836891180826,404.602021028615,14.2348701522112,390.367150876404,"orange","SYNGR1",1192
"FUN_013196",421.708834784283,403.53404172185,18.1747930624322,385.359248659418,"orange","",749
